[2021-May-26 15:48:49] Data: rooms=2, m2=50, floor=3, total_floor=5, city_or_village=
[2021-May-26 15:49:08] Data: rooms=2, m2=50, floor=3, total_floor=5, city_or_village=
[2021-May-26 15:53:32] Data: rooms=2, m2=50, floor=3, total_floor=5, city_or_village=
[2021-May-26 15:55:50] Data: rooms=2, m2=50, floor=3, total_floor=5, city_or_village=
[2021-May-26 16:01:56] Data: rooms=2, m2=50, floor=3, total_floor=5, city_or_village=
[2021-May-26 16:05:37] Data: rooms=2, m2=50, floor=3, total_floor=5, city_or_village=
[2021-May-26 16:14:34] Data: rooms=2, m2=50, floor=3, total_floor=5, city_or_village=
[2021-May-26 16:15:09] Data: rooms=2, m2=50, floor=3, total_floor=5, city_or_village=
[2021-May-26 16:16:02] Data: rooms=2, m2=50, floor=3, total_floor=5, city_or_village=
[2021-May-26 16:27:05] Data: rooms=2, m2=50, floor=3, total_floor=5, city_or_village=
[2021-May-26 16:37:54] Data: rooms=2, m2=50, floor=3, total_floor=5, city_or_village=0
[2021-May-26 16:39:25] Data: rooms=2, m2=50, floor=3, total_floor=5, city_or_village=0
[2021-May-26 16:40:34] Data: rooms=2, m2=50, floor=3, total_floor=5, city_or_village=0
